,x_Bi,x_In,x_Sn,Tm
334,0.55,0.41,0.04,126.5
335,0.54,0.42,0.04,122.0
336,0.53,0.43,0.04,117.0
337,0.52,0.44,0.04,112.5
338,0.51,0.45,0.04,107.5
339,0.5,0.46,0.04,102.5
340,0.49,0.47,0.04,102.0
341,0.48,0.48,0.04,102.5
342,0.47,0.49,0.04,102.5
343,0.46,0.5,0.04,102.0
344,0.45,0.51,0.04,101.5
345,0.44,0.52,0.04,101.0
346,0.43,0.53,0.04,100.5
347,0.42,0.54,0.04,99.5
348,0.41,0.55,0.04,98.5
349,0.4,0.56,0.04,97.0
350,0.39,0.57,0.04,95.5
351,0.38,0.58,0.04,94.0
352,0.37,0.59,0.04,92.0
353,0.36,0.6,0.04,90.0
354,0.35,0.61,0.04,87.5
355,0.34,0.62,0.04,85.5
356,0.33,0.63,0.04,82.5
357,0.32,0.64,0.04,80.0
358,0.31,0.65,0.04,79.5
359,0.3,0.66,0.04,79.0
360,0.29,0.67,0.04,78.5
361,0.28,0.68,0.04,78.0
362,0.27,0.69,0.04,77.5
363,0.26,0.7,0.04,76.0
364,0.25,0.71,0.04,75.0
365,0.24,0.72,0.04,73.5
366,0.23,0.73,0.04,71.5
367,0.22,0.74,0.04,69.5
368,0.21,0.75,0.04,67.0
369,0.2,0.76,0.04,69.5
370,0.19,0.77,0.04,74.5
371,0.18,0.78,0.04,79.5
372,0.17,0.79,0.04,84.5
373,0.16,0.8,0.04,89.0
374,0.15,0.81,0.04,93.5
375,0.14,0.82,0.04,98.5
376,0.13,0.83,0.04,103.0
377,0.12,0.84,0.04,107.0
378,0.11,0.85,0.04,111.5
379,0.1,0.86,0.04,115.5
380,0.09,0.87,0.04,119.5
381,0.08,0.88,0.04,123.5
382,0.07,0.89,0.04,127.5
383,0.06,0.9,0.04,131.5
384,0.05,0.91,0.04,135.0
385,0.04,0.92,0.04,138.5
386,0.03,0.93,0.04,142.0
387,0.02,0.94,0.04,145.5
388,0.01,0.95,0.04,149.0
193,0.0,0.9500000000000001,0.04999999999999993,151.0
202,0.95,0.0,0.05,261.5
390,0.94,0.01,0.05,259.0
391,0.93,0.02,0.05,256.5
392,0.92,0.03,0.05,254.0
393,0.91,0.04,0.05,251.5
394,0.9,0.05,0.05,248.5
395,0.89,0.06,0.05,246.0
396,0.88,0.07,0.05,243.5
397,0.87,0.08,0.05,240.5
398,0.86,0.09,0.05,238.0
399,0.85,0.1,0.05,235.0
400,0.84,0.11,0.05,232.5
401,0.83,0.12,0.05,229.5
402,0.82,0.13,0.05,226.5
403,0.81,0.14,0.05,223.5
404,0.8,0.15,0.05,220.5
405,0.79,0.16,0.05,217.5
406,0.78,0.17,0.05,214.5
407,0.77,0.18,0.05,211.5
408,0.76,0.19,0.05,208.0
409,0.75,0.2,0.05,205.0
410,0.74,0.21,0.05,201.5
411,0.73,0.22,0.05,198.0
412,0.72,0.23,0.05,195.0
413,0.71,0.24,0.05,191.5
414,0.7,0.25,0.05,188.0
415,0.69,0.26,0.05,184.5
416,0.68,0.27,0.05,180.5
417,0.67,0.28,0.05,177.0
418,0.66,0.29,0.05,173.5
419,0.65,0.3,0.05,169.5
420,0.64,0.31,0.05,165.5
421,0.63,0.32,0.05,161.5
422,0.62,0.33,0.05,157.5
423,0.61,0.34,0.05,153.5
424,0.6,0.35,0.05,149.5
425,0.59,0.36,0.05,145.5
426,0.58,0.37,0.05,141.0
427,0.57,0.38,0.05,137.0
428,0.56,0.39,0.05,132.5
429,0.55,0.4,0.05,128.0
430,0.54,0.41,0.05,123.5
431,0.53,0.42,0.05,118.5
432,0.52,0.43,0.05,114.0
433,0.51,0.44,0.05,109.0
434,0.5,0.45,0.05,104.5
435,0.49,0.46,0.05,100.5
436,0.48,0.47,0.05,100.5
437,0.47,0.48,0.05,100.5
438,0.46,0.49,0.05,100.5
439,0.45,0.5,0.05,100.0
440,0.44,0.51,0.05,99.5
441,0.43,0.52,0.05,99.0
442,0.42,0.53,0.05,98.5
443,0.41,0.54,0.05,97.5
444,0.4,0.55,0.05,96.0
445,0.39,0.56,0.05,94.5
446,0.38,0.57,0.05,93.0
447,0.37,0.58,0.05,91.5
448,0.36,0.59,0.05,89.5
449,0.35,0.6,0.05,87.5
450,0.34,0.61,0.05,85.0
451,0.33,0.62,0.05,82.5
452,0.32,0.63,0.05,80.0
453,0.31,0.64,0.05,78.0
