ベンダ,GRAPHTEC Corporation,,,,,,,,,,,,,,
モデル,GL260,,,,,,,,,,,,,,
バージョン,Ver1.03  ,,,,,,,,,,,,,,
最大CH数,10,,,,,,,,,,,,,,
WL開始CH,10,,,,,,,,,,,,,,
演算開始CH,10,,,,,,,,,,,,,,
最大ロジックCH数,4,,,,,,,,,,,,,,
最大演算CH数,10,,,,,,,,,,,,,,
Logic/Pulse,Off,,,,,,,,,,,,,,
温度単位,C,,,,,,,,,,,,,,
測定間隔,1s,,,,,,,,,,,,,,
測定点数,880,,,,,,,,,,,,,,
トリガ点,0,,,,,,,,,,,,,,
開始時刻,2026/04/14,14:43:23,,,,,,,,,,,,,
75,2026/04/14 14:44,0,322.4,324.4,312.9,23.4,26.6,BURNOUT,BURNOUT,BURNOUT,BURNOUT,BURNOUT,LLLLLLLLLL,LLLL,
76,2026/04/14 14:44,0,322.9,325,313.3,23.5,26.6,BURNOUT,BURNOUT,BURNOUT,BURNOUT,BURNOUT,LLLLLLLLLL,LLLL,
77,2026/04/14 14:44,0,323.4,325.6,313.9,23.5,26.5,BURNOUT,BURNOUT,BURNOUT,BURNOUT,BURNOUT,LLLLLLLLLL,LLLL,
78,2026/04/14 14:44,0,323.9,326.1,314.4,23.4,26.5,BURNOUT,BURNOUT,BURNOUT,BURNOUT,BURNOUT,LLLLLLLLLL,LLLL,
79,2026/04/14 14:44,0,324.2,326.7,315,23.4,26.5,BURNOUT,BURNOUT,BURNOUT,BURNOUT,BURNOUT,LLLLLLLLLL,LLLL,
80,2026/04/14 14:44,0,324.7,327.2,315.4,23.5,26.5,BURNOUT,BURNOUT,BURNOUT,BURNOUT,BURNOUT,LLLLLLLLLL,LLLL,
81,2026/04/14 14:44,0,325.1,327.9,316,23.5,26.5,BURNOUT,BURNOUT,BURNOUT,BURNOUT,BURNOUT,LLLLLLLLLL,LLLL,
82,2026/04/14 14:44,0,325.6,328.6,316.5,23.4,26.5,BURNOUT,BURNOUT,BURNOUT,BURNOUT,BURNOUT,LLLLLLLLLL,LLLL,
83,2026/04/14 14:44,0,326,329.2,317.1,23.5,26.5,BURNOUT,BURNOUT,BURNOUT,BURNOUT,BURNOUT,LLLLLLLLLL,LLLL,
84,2026/04/14 14:44,0,326.5,329.8,317.7,23.4,26.5,BURNOUT,BURNOUT,BURNOUT,BURNOUT,BURNOUT,LLLLLLLLLL,LLLL,
85,2026/04/14 14:44,0,327,330.6,318.4,23.4,26.5,BURNOUT,BURNOUT,BURNOUT,BURNOUT,BURNOUT,LLLLLLLLLL,LLLL,
86,2026/04/14 14:44,0,327.5,331.2,319,23.4,26.5,BURNOUT,BURNOUT,BURNOUT,BURNOUT,BURNOUT,LLLLLLLLLL,LLLL,
87,2026/04/14 14:44,0,328.3,332,319.5,23.4,26.5,BURNOUT,BURNOUT,BURNOUT,BURNOUT,BURNOUT,LLLLLLLLLL,LLLL,
88,2026/04/14 14:44,0,328.9,332.7,320.1,23.4,26.5,BURNOUT,BURNOUT,BURNOUT,BURNOUT,BURNOUT,LLLLLLLLLL,LLLL,
89,2026/04/14 14:44,0,329.5,333.3,320.9,23.3,26.4,BURNOUT,BURNOUT,BURNOUT,BURNOUT,BURNOUT,LLLLLLLLLL,LLLL,
90,2026/04/14 14:44,0,330.2,334.1,321.5,23.4,26.4,BURNOUT,BURNOUT,BURNOUT,BURNOUT,BURNOUT,LLLLLLLLLL,LLLL,
91,2026/04/14 14:44,0,330.9,264.5,322.1,23.4,26.4,BURNOUT,BURNOUT,BURNOUT,BURNOUT,BURNOUT,LLLLLLLLLL,LLLL,
92,2026/04/14 14:44,0,331.6,335.1,322.3,23.4,26.4,BURNOUT,BURNOUT,BURNOUT,BURNOUT,BURNOUT,LLLLLLLLLL,LLLL,
93,2026/04/14 14:44,0,332.4,336.5,322.3,23.4,26.4,BURNOUT,BURNOUT,BURNOUT,BURNOUT,BURNOUT,LLLLLLLLLL,LLLL,
94,2026/04/14 14:44,0,333.1,331.9,322.1,23.3,26.4,BURNOUT,BURNOUT,BURNOUT,BURNOUT,BURNOUT,LLLLLLLLLL,LLLL,
95,2026/04/14 14:44,0,334,338.1,321.6,23.3,26.3,BURNOUT,BURNOUT,BURNOUT,BURNOUT,BURNOUT,LLLLLLLLLL,LLLL,
96,2026/04/14 14:44,0,334.8,338.9,321,23.4,26.3,BURNOUT,BURNOUT,BURNOUT,BURNOUT,BURNOUT,LLLLLLLLLL,LLLL,
97,2026/04/14 14:44,0,335.5,339.6,320.1,23.3,26.3,BURNOUT,BURNOUT,BURNOUT,BURNOUT,BURNOUT,LLLLLLLLLL,LLLL,
